id,mailto_wave2
2,FALSE
3,TRUE
5,FALSE
7,FALSE
9,FALSE
12,FALSE
13,TRUE
15,FALSE
17,FALSE
19,FALSE
20,TRUE
29,FALSE
34,FALSE
35,FALSE
36,FALSE
38,FALSE
41,FALSE
42,FALSE
43,FALSE
45,FALSE
46,FALSE
47,TRUE
49,FALSE
50,FALSE
55,TRUE
62,TRUE
70,FALSE
72,TRUE
74,FALSE
75,FALSE
80,FALSE
88,FALSE
97,FALSE
98,FALSE
100,TRUE
101,TRUE
108,FALSE
109,FALSE
112,FALSE
115,TRUE
116,FALSE
123,FALSE
125,FALSE
129,FALSE
131,FALSE
132,FALSE
137,TRUE
139,TRUE
140,TRUE
142,TRUE
148,FALSE
149,FALSE
150,FALSE
154,FALSE
155,TRUE
156,FALSE
160,FALSE
164,FALSE
168,FALSE
173,FALSE
176,FALSE
179,TRUE
181,FALSE
182,TRUE
187,FALSE
198,FALSE
199,TRUE
200,FALSE
201,FALSE
206,FALSE
207,FALSE
211,FALSE
218,FALSE
228,FALSE
233,FALSE
239,FALSE
240,FALSE
242,TRUE
247,TRUE
248,FALSE
249,FALSE
256,TRUE
257,TRUE
260,FALSE
261,TRUE
265,FALSE
267,FALSE
270,FALSE
272,FALSE
274,TRUE
276,TRUE
281,FALSE
288,TRUE
293,FALSE
297,FALSE
298,FALSE
304,FALSE
305,FALSE
306,FALSE
307,TRUE
309,TRUE
316,TRUE
318,TRUE
319,TRUE
320,FALSE
323,FALSE
324,FALSE
328,TRUE
331,FALSE
333,FALSE
336,FALSE
338,TRUE
339,TRUE
342,FALSE
348,FALSE
351,FALSE
353,FALSE
355,TRUE
357,TRUE
360,TRUE
362,FALSE
367,FALSE
370,FALSE
383,FALSE
389,TRUE
390,FALSE
392,FALSE
393,FALSE
401,FALSE
407,FALSE
408,FALSE
411,FALSE
412,FALSE
415,TRUE
416,FALSE
417,FALSE
422,FALSE
428,FALSE
430,FALSE
431,FALSE
434,FALSE
437,FALSE
441,FALSE
444,FALSE
447,FALSE
455,TRUE
456,FALSE
458,FALSE
460,FALSE
462,FALSE
465,TRUE
468,FALSE
473,FALSE
476,FALSE
486,FALSE
488,FALSE
494,FALSE
500,FALSE
505,FALSE
507,TRUE
511,TRUE
512,FALSE
515,TRUE
520,FALSE
523,FALSE
526,FALSE
528,FALSE
533,FALSE
539,FALSE
540,TRUE
541,TRUE
543,FALSE
545,FALSE
546,TRUE
549,FALSE
566,FALSE
568,TRUE
570,TRUE
573,FALSE
575,FALSE
576,FALSE
583,FALSE
585,FALSE
587,FALSE
588,FALSE
589,FALSE
590,FALSE
592,FALSE
594,FALSE
602,FALSE
607,FALSE
609,FALSE
618,FALSE
619,FALSE
635,FALSE
636,FALSE
642,FALSE
645,FALSE
648,FALSE
650,FALSE
651,TRUE
656,FALSE
657,FALSE
658,FALSE
660,TRUE
685,TRUE
690,TRUE
691,FALSE
692,FALSE
694,FALSE
696,FALSE
699,FALSE
701,TRUE
705,FALSE
706,FALSE
707,FALSE
708,FALSE
709,FALSE
712,FALSE
718,TRUE
721,FALSE
722,FALSE
727,FALSE
736,FALSE
744,TRUE
748,TRUE
752,FALSE
761,FALSE
763,FALSE
765,TRUE
771,FALSE
772,FALSE
775,TRUE
776,TRUE
783,TRUE
786,FALSE
788,FALSE
789,FALSE
790,TRUE
